Objeto,Data,GEO_ID
"IP023450657BR","05/08/2018",2417
"IP023450665BR","05/08/2018",2417
"IP023450674BR","05/08/2018",2418
"IP023450688BR","05/08/2018",2418
"IP023450691BR","05/08/2018",2419
"IP023450705BR","05/08/2018",2419
"IP023450714BR","05/08/2018",2420
"IP023450728BR","05/08/2018",2420
"IP023450731BR","05/08/2018",2420
"IP023450745BR","05/08/2018",2421
"IP023450759BR","05/08/2018",2421
"IP023450762BR","05/08/2018",2422
"IP023450776BR","05/08/2018",2423
"IP023450780BR","05/08/2018",2423
"IP023450793BR","05/08/2018",2423
"IP023450802BR","05/08/2018",2424
"IP023450816BR","05/08/2018",2424
"IP023450820BR","05/08/2018",2424
"IP023450833BR","05/08/2018",2425
"IP023450847BR","05/08/2018",2425
"IP023450855BR","05/08/2018",2426
"IP023450864BR","05/08/2018",2426
"IP023450878BR","05/08/2018",2427
"IP023450881BR","05/08/2018",2427
"IP023450895BR","05/08/2018",2427
"IP023450904BR","05/08/2018",2427
"IP023450918BR","05/08/2018",2428
"IP023450921BR","05/08/2018",2428
"IP023450935BR","05/08/2018",2428
"IP023450949BR","05/08/2018",2429
"IP023450952BR","05/08/2018",2429
"IP023450966BR","05/08/2018",2429
"IP023450970BR","05/08/2018",2430
"IP023450983BR","05/08/2018",2430
"IP023450997BR","05/08/2018",2430
"IP023451003BR","05/08/2018",2431
"IP023451017BR","05/08/2018",2432
"IP023451025BR","05/08/2018",2432
"IP023451034BR","05/08/2018",2432
"IP023451048BR","05/08/2018",2433
"IP023451051BR","05/08/2018",2433
"IP023451065BR","05/08/2018",2434
"IP023451079BR","05/08/2018",2435
"IP023451082BR","05/08/2018",2436
"IP023451096BR","05/08/2018",2436
"IP023451105BR","05/08/2018",2436
"IP023451119BR","05/08/2018",2437
"IP023451122BR","05/08/2018",2438
"IP023451136BR","05/08/2018",2415
"IP023451140BR","05/08/2018",2415
"IP023451153BR","05/08/2018",2416
"IP023451167BR","05/08/2018",2416
"IP023451175BR","05/08/2018",2416
"IP023451184BR","05/08/2018",2416
"IP023451198BR","05/08/2018",2416
"IP023451207BR","05/08/2018",2416
"IP023451215BR","05/08/2018",2417
"IP023451224BR","05/08/2018",2417
"IP023451238BR","05/08/2018",2417
"IP023451241BR","05/08/2018",2418
"IP023451255BR","05/08/2018",2418
